"name","class"
"M200317000A","control"
"M200317007","influent_ozone"
"M200317008","influent_uv"
"M200317009","influent_ac"
"M200317010","effluent"
"M200318000A","control"
"M200318001","influent_ozone"
"M200318002","influent_uv"
"M200318003","influent_ac"
"M200318004","effluent"
"M200320000A","control"
"M200320001","influent_ozone"
"M200320002","influent_uv"
"M200320003","influent_ac"
"M200320004","effluent"
"M200401000A","control"
"M200401068","influent_ozone"
"M200401069","influent_uv"
"M200401070","influent_ac"
"M200401071","effluent"
"M200403000A","control"
"M200403005","influent_ozone"
"M200403006","influent_uv"
"M200403007","influent_ac"
"M200403008","effluent"
"M200408000A","control"
"M200408025","influent_ozone"
"M200408026","influent_uv"
"M200408027","influent_ac"
"M200408028","effluent"
"M200414000A","control"
"M200414005","influent_ozone"
"M200414006","influent_uv"
"M200414007","influent_ac"
"M200414008","effluent"
"M200422000A","control"
"M200422146","influent_ozone"
"M200422147","influent_uv"
"M200422148","influent_ac"
"M200422149","effluent"
"M200429000A","control"
"M200429096","influent_ozone"
"M200429097","influent_uv"
"M200429098","influent_ac"
"M200429099","effluent"
