index,name,path,batch,batch_position,idle_time,sample,method,timestamp,detector,pump,start_time,end_time,runtime
27,210812_Pac,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac.D,210812_Pac 2021-08-12 10-30-07,1,173.0,Blank,SAA_411_Pac.M,2021-08-12 10:30:12,G7110B,G7110B,2021-08-12 10:32:20,2021-08-12 10:36:21,239.7000000000036
14,210812_Pac--002,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--002.D,210812_Pac 2021-08-12 10-30-07,2,374.0,Blank,SAA_411_Pac.M,2021-08-12 10:36:26,G1315C,G7110B,2021-08-12 10:37:00,2021-08-12 10:41:00,239.7000000000036
15,210812_Pac--003,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--003.D,210812_Pac 2021-08-12 10-30-07,3,279.0,Blank,SAA_411_Pac.M,2021-08-12 10:41:05,G1315C,G7110B,2021-08-12 10:41:39,2021-08-12 10:45:39,239.7000000000036
16,210812_Pac--004,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--004.D,210812_Pac 2021-08-12 10-30-07,4,279.0,Blank,SAA_411_Pac.M,2021-08-12 10:45:44,G1315C,G7110B,2021-08-12 10:46:18,2021-08-12 10:50:18,239.7000000000036
17,210812_Pac--005,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--005.D,210812_Pac 2021-08-12 10-30-07,5,279.0,"NaCl 0,9%",SAA_411_Pac.M,2021-08-12 10:50:23,G1315C,G7110B,2021-08-12 10:50:57,2021-08-12 10:54:57,239.7000000000036
18,210812_Pac--006,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--006.D,210812_Pac 2021-08-12 10-30-07,6,279.0,Blank,SAA_411_Pac.M,2021-08-12 10:55:02,G1315C,G7110B,2021-08-12 10:55:36,2021-08-12 10:59:36,239.7000000000036
19,210812_Pac--007,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--007.D,210812_Pac 2021-08-12 10-30-07,7,279.0,0.025 mg/ml,SAA_411_Pac.M,2021-08-12 10:59:41,G1315C,G7110B,2021-08-12 11:00:15,2021-08-12 11:04:15,239.7000000000036
20,210812_Pac--008,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--008.D,210812_Pac 2021-08-12 10-30-07,8,279.0,Blank,SAA_411_Pac.M,2021-08-12 11:04:20,G1315C,G7110B,2021-08-12 11:04:54,2021-08-12 11:08:54,239.7000000000036
21,210812_Pac--009,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--009.D,210812_Pac 2021-08-12 10-30-07,9,279.0,210806/036 :10,SAA_411_Pac.M,2021-08-12 11:08:59,G1315C,G7110B,2021-08-12 11:09:32,2021-08-12 11:13:32,239.7000000000036
22,210812_Pac--010,D:/ExtractedSignals\210812_Pac 2021-08-12 10-30-07\210812_Pac--010.D,210812_Pac 2021-08-12 10-30-07,10,278.0,210806/036 :10,SAA_411_Pac.M,2021-08-12 11:13:37,G7110B,G7110B,2021-08-12 11:14:11,2021-08-12 11:18:11,239.7000000000036
