"name","class","month","monthclass"
"M200317000A","control","march","march-control"
"M200317007","influent_ozone","march","march-influent_ozone"
"M200317008","influent_uv","march","march-influent_uv"
"M200317009","influent_ac","march","march-influent_ac"
"M200317010","effluent","march","march-effluent"
"M200318000A","control","march","march-control"
"M200318001","influent_ozone","march","march-influent_ozone"
"M200318002","influent_uv","march","march-influent_uv"
"M200318003","influent_ac","march","march-influent_ac"
"M200318004","effluent","march","march-effluent"
"M200320000A","control","march","march-control"
"M200320001","influent_ozone","march","march-influent_ozone"
"M200320002","influent_uv","march","march-influent_uv"
"M200320003","influent_ac","march","march-influent_ac"
"M200320004","effluent","march","march-effluent"
"M200401000A","control","april","april-control"
"M200401068","influent_ozone","april","april-influent_ozone"
"M200401069","influent_uv","april","april-influent_uv"
"M200401070","influent_ac","april","april-influent_ac"
"M200401071","effluent","april","april-effluent"
"M200403000A","control","april","april-control"
"M200403005","influent_ozone","april","april-influent_ozone"
"M200403006","influent_uv","april","april-influent_uv"
"M200403007","influent_ac","april","april-influent_ac"
"M200403008","effluent","april","april-effluent"
"M200408000A","control","april","april-control"
"M200408025","influent_ozone","april","april-influent_ozone"
"M200408026","influent_uv","april","april-influent_uv"
"M200408027","influent_ac","april","april-influent_ac"
"M200408028","effluent","april","april-effluent"
"M200414000A","control","april","april-control"
"M200414005","influent_ozone","april","april-influent_ozone"
"M200414006","influent_uv","april","april-influent_uv"
"M200414007","influent_ac","april","april-influent_ac"
"M200414008","effluent","april","april-effluent"
"M200422000A","control","april","april-control"
"M200422146","influent_ozone","april","april-influent_ozone"
"M200422147","influent_uv","april","april-influent_uv"
"M200422148","influent_ac","april","april-influent_ac"
"M200422149","effluent","april","april-effluent"
"M200429000A","control","april","april-control"
"M200429096","influent_ozone","april","april-influent_ozone"
"M200429097","influent_uv","april","april-influent_uv"
"M200429098","influent_ac","april","april-influent_ac"
"M200429099","effluent","april","april-effluent"
